method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
descriptor_clustering,83,S3_strong_campaign,5,1.0,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8946305555555556,0.954415623077292,0,183,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,371,0.0830872920050751,,0.003136417013593,1.410937082982855,
standard_gnn,11,S3_strong_campaign,5,1.0,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,88,0.087884375010617,0.0852780000132042,0.004935375007335,1.4197895840043202,
descriptor_clustering,97,S3_strong_campaign,10,0.75,3,0,0,0,0.9486166007905138,1.0,0.973630831643002,1.0,0.0,0.9615897435897436,0.9977003086254695,0,45,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,61,0.1138470830046571,,0.0057812909944914,2.597130875015864,
fcgnn,37,S3_strong_campaign,5,1.0,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8937833333333333,0.9537919513908824,0,170,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,3,1,0,343,0.0843033750134054,0.084370166005101,0.0049149160040542,1.4481779169873334,
fcgnn,11,S3_strong_campaign,10,1.0,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,590,0.1248808329983148,0.1670502500201109,0.0068663339770864,2.7399867080093827,
descriptor_clustering,101,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7817500000000001,0.774935130344403,0,175,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,37,0.0546255420194938,,0.0026468750147614,0.6475900840014219,
standard_gnn,83,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8946305555555556,0.954415623077292,0,183,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.088223333004862,0.0826079580001533,0.0043781669810414,1.4066749580088072,
fcgnn,101,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7817500000000001,0.774935130344403,0,175,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,11,0.0517483750008977,0.0623730420193169,0.003996667015599,0.7265512909798417,
fcgnn,71,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7715902777777778,0.7595810342902711,0,193,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,59,0.0529521249991375,0.0623411670094355,0.0039421249821316,0.6901515839854255,
descriptor_clustering,23,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7754305555555556,0.7510556067716118,0,174,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0561455840070266,,0.0028012499969918,0.6504815419903025,
