descriptor_id,vehicle_id,rank,neighbour_descriptor_id,neighbour_vehicle_id,cosine_similarity,same_vehicle
EVT-CHV-002753,Chevrolet,5,EVT-CHV-003933,Chevrolet,0.999736,1
EVT-CHV-002753,Chevrolet,6,EVT-CHV-003176,Chevrolet,0.999713,1
EVT-CHV-002753,Chevrolet,7,EVT-CHV-003796,Chevrolet,0.999693,1
EVT-CHV-002753,Chevrolet,8,EVT-CHV-003915,Chevrolet,0.999686,1
EVT-CHV-002753,Chevrolet,9,EVT-CHV-002882,Chevrolet,0.999669,1
EVT-CHV-002753,Chevrolet,10,EVT-CHV-003037,Chevrolet,0.999664,1
EVT-CHV-002753,Chevrolet,11,EVT-CHV-002891,Chevrolet,0.999659,1
EVT-CHV-002753,Chevrolet,12,EVT-CHV-003963,Chevrolet,0.999655,1
EVT-CHV-002753,Chevrolet,13,EVT-CHV-003130,Chevrolet,0.999652,1
EVT-CHV-002753,Chevrolet,14,EVT-CHV-003052,Chevrolet,0.999639,1
EVT-CHV-002753,Chevrolet,15,EVT-CHV-003029,Chevrolet,0.999639,1
EVT-CHV-002754,Chevrolet,1,EVT-CHV-002800,Chevrolet,0.99984,1
EVT-CHV-002754,Chevrolet,2,EVT-CHV-002916,Chevrolet,0.999809,1
EVT-CHV-002754,Chevrolet,3,EVT-CHV-003085,Chevrolet,0.999799,1
EVT-CHV-002754,Chevrolet,4,EVT-CHV-002985,Chevrolet,0.999797,1
EVT-CHV-002754,Chevrolet,5,EVT-CHV-002838,Chevrolet,0.999787,1
EVT-CHV-002754,Chevrolet,6,EVT-CHV-002824,Chevrolet,0.999778,1
EVT-CHV-002754,Chevrolet,7,EVT-CHV-002993,Chevrolet,0.999757,1
EVT-CHV-002754,Chevrolet,8,EVT-CHV-003177,Chevrolet,0.99973,1
EVT-CHV-002754,Chevrolet,9,EVT-CHV-003131,Chevrolet,0.999727,1
EVT-CHV-002754,Chevrolet,10,EVT-CHV-003223,Chevrolet,0.999707,1
EVT-CHV-002754,Chevrolet,11,EVT-CHV-002846,Chevrolet,0.999698,1
EVT-CHV-002754,Chevrolet,12,EVT-CHV-002892,Chevrolet,0.999677,1
EVT-CHV-002754,Chevrolet,13,EVT-CHV-003830,Chevrolet,0.999669,1
EVT-CHV-002754,Chevrolet,14,EVT-CHV-002769,Chevrolet,0.999658,1
EVT-CHV-002754,Chevrolet,15,EVT-CHV-003269,Chevrolet,0.999655,1
EVT-CHV-002755,Chevrolet,1,EVT-CHV-003927,Chevrolet,0.999891,1
EVT-CHV-002755,Chevrolet,2,EVT-CHV-003880,Chevrolet,0.999872,1
EVT-CHV-002755,Chevrolet,3,EVT-CHV-003926,Chevrolet,0.999844,1
EVT-CHV-002755,Chevrolet,4,EVT-CHV-002865,Chevrolet,0.999822,1
EVT-CHV-002755,Chevrolet,5,EVT-CHV-002980,Chevrolet,0.999818,1
EVT-CHV-002755,Chevrolet,6,EVT-CHV-004429,Chevrolet,0.999818,1
EVT-CHV-002755,Chevrolet,7,EVT-CHV-004430,Chevrolet,0.999802,1
EVT-CHV-002755,Chevrolet,8,EVT-CHV-003968,Chevrolet,0.999801,1
EVT-CHV-002755,Chevrolet,9,EVT-CHV-002947,Chevrolet,0.999781,1
EVT-CHV-002755,Chevrolet,10,EVT-CHV-002910,Chevrolet,0.99978,1
EVT-CHV-002755,Chevrolet,11,EVT-CHV-003039,Chevrolet,0.999769,1
EVT-CHV-002755,Chevrolet,12,EVT-CHV-003278,Chevrolet,0.999765,1
EVT-CHV-002755,Chevrolet,13,EVT-CHV-002997,Chevrolet,0.999764,1
EVT-CHV-002755,Chevrolet,14,EVT-CHV-003835,Chevrolet,0.99976,1
EVT-CHV-002755,Chevrolet,15,EVT-CHV-003995,Chevrolet,0.999748,1
EVT-CHV-002756,Chevrolet,1,EVT-CHV-003087,Chevrolet,0.999891,1
EVT-CHV-002756,Chevrolet,2,EVT-CHV-003882,Chevrolet,0.999806,1
EVT-CHV-002756,Chevrolet,3,EVT-CHV-002848,Chevrolet,0.999796,1
EVT-CHV-002756,Chevrolet,4,EVT-CHV-003225,Chevrolet,0.99975,1
EVT-CHV-002756,Chevrolet,5,EVT-CHV-003836,Chevrolet,0.999748,1
EVT-CHV-002756,Chevrolet,6,EVT-CHV-003133,Chevrolet,0.999732,1
EVT-CHV-002756,Chevrolet,7,EVT-CHV-003966,Chevrolet,0.999658,1
EVT-CHV-002756,Chevrolet,8,EVT-CHV-002802,Chevrolet,0.99965,1
EVT-CHV-002756,Chevrolet,9,EVT-CHV-003179,Chevrolet,0.999645,1
EVT-CHV-002756,Chevrolet,10,EVT-CHV-004431,Chevrolet,0.999639,1
EVT-CHV-002756,Chevrolet,11,EVT-CHV-002849,Chevrolet,0.999592,1
EVT-CHV-002756,Chevrolet,12,EVT-CHV-003928,Chevrolet,0.999588,1
EVT-CHV-002756,Chevrolet,13,EVT-CHV-002940,Chevrolet,0.999575,1
EVT-CHV-002756,Chevrolet,14,EVT-CHV-002941,Chevrolet,0.999559,1
EVT-CHV-002756,Chevrolet,15,EVT-CHV-003372,Chevrolet,0.999549,1
EVT-CHV-002757,Chevrolet,1,EVT-CHV-003782,Chevrolet,0.99995,1
EVT-CHV-002757,Chevrolet,2,EVT-CHV-003033,Chevrolet,0.999795,1
EVT-CHV-002757,Chevrolet,3,EVT-CHV-002904,Chevrolet,0.999774,1
EVT-CHV-002757,Chevrolet,4,EVT-CHV-003187,Chevrolet,0.999759,1
EVT-CHV-002757,Chevrolet,5,EVT-CHV-003929,Chevrolet,0.999749,1
EVT-CHV-002757,Chevrolet,6,EVT-CHV-004386,Chevrolet,0.999738,1
