scenario_id,scenario_key,scenario_label,seed,campaign_size,method,local_ids,descriptor_sharing,fleet_graph,graphsage,dbscan,campaign_reasoning,local_precision,local_recall,local_f1,local_fpr,local_alert_generated,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_rate,incorrect_merge_rate,membership_precision,membership_recall,membership_f1,fragmentation,source,metric_source
S4,weak_coordinated_campaign,Weak coordinated campaign,41,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,1.0,1.0,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,53,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,53,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,1.0,1.0,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,53,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,1.0,1.0,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,67,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,67,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,0.8,0.888888888888889,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,67,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,0.9,0.9473684210526316,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,71,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,71,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.6,0.7499999999999999,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,71,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,0.9,0.9473684210526316,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,83,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,0.4,1.0,0.5714285714285715,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,83,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,83,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,97,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,97,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,97,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.8,0.888888888888889,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,101,2,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,101,5,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,0.5,1.0,0.6666666666666666,,0.0,1.0,1.0,1.0,1.0,campaign_metrics.csv (archive),
S4,weak_coordinated_campaign,Weak coordinated campaign,101,10,FLEET-GUARD,Yes,Yes,Yes,Yes,Yes,Yes,,1.0,,,True,1.0,1.0,1.0,1.0,,0.0,1.0,0.7,0.8235294117647058,0.0,campaign_metrics.csv (archive),
S0,benign_fleet_control,Benign fleet,11,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,23,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,37,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,41,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,53,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,67,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,71,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,83,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,97,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S0,benign_fleet_control,Benign fleet,101,5,Vehicle-Level IDS,Yes,No,No,No,No,No,,,,0.0,False,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S1,isolated_attack,Isolated single-vehicle attack,11,5,Vehicle-Level IDS,Yes,No,No,No,No,No,1.0,1.0,1.0,0.0,True,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S1,isolated_attack,Isolated single-vehicle attack,23,5,Vehicle-Level IDS,Yes,No,No,No,No,No,1.0,1.0,1.0,0.0,True,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S1,isolated_attack,Isolated single-vehicle attack,37,5,Vehicle-Level IDS,Yes,No,No,No,No,No,1.0,1.0,1.0,0.0,True,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S1,isolated_attack,Isolated single-vehicle attack,41,5,Vehicle-Level IDS,Yes,No,No,No,No,No,1.0,1.0,1.0,0.0,True,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
S1,isolated_attack,Isolated single-vehicle attack,53,5,Vehicle-Level IDS,Yes,No,No,No,No,No,1.0,1.0,1.0,0.0,True,,,,,,,,,,,per_window_local_alert (theta_strong); no fleet layers,per_window_local_alert_counts
