seed,scenario,dbscan_id,size,vehicles,n_vehicles,gt_composition,cohesion,cross_vehicle,gate_passed_pre_merge,gate_fail_reasons,best_jaccard_vs_gt,best_gt_id,in_final_gated
37,weak_campaign,7,2,"[""veh_05"", ""veh_18""]",2,"{""-1"": 2}",0.9999999894007122,True,True,[],0.0,-1,True
37,weak_campaign,8,2,"[""veh_05"", ""veh_14""]",2,"{""-1"": 2}",0.9999998964511977,True,True,[],0.0,-1,True
37,weak_campaign,9,3,"[""veh_06"", ""veh_10"", ""veh_12""]",3,"{""-1"": 3}",0.9999998077996728,True,True,[],0.0,-1,True
37,weak_campaign,10,5,"[""veh_06"", ""veh_07"", ""veh_09"", ""veh_13""]",4,"{""-1"": 5}",0.9999997940522464,True,True,[],0.0,-1,True
37,weak_campaign,11,3,"[""veh_06"", ""veh_10"", ""veh_12""]",3,"{""-1"": 3}",0.9999998111543449,True,True,[],0.0,-1,True
37,weak_campaign,12,3,"[""veh_06"", ""veh_14"", ""veh_18""]",3,"{""-1"": 3}",0.9999999131951108,True,True,[],0.0,-1,True
37,weak_campaign,13,3,"[""veh_07"", ""veh_15"", ""veh_17""]",3,"{""-1"": 3}",0.9999998017906311,True,True,[],0.0,-1,True
37,weak_campaign,14,2,"[""veh_07"", ""veh_10""]",2,"{""-1"": 2}",0.9999999745634188,True,True,[],0.0,-1,True
37,weak_campaign,15,2,"[""veh_07"", ""veh_15""]",2,"{""-1"": 2}",0.9999999817922081,True,True,[],0.0,-1,True
37,weak_campaign,16,3,"[""veh_07"", ""veh_08"", ""veh_17""]",3,"{""-1"": 3}",0.9999998626323173,True,True,[],0.0,-1,True
37,weak_campaign,17,2,"[""veh_08"", ""veh_11""]",2,"{""-1"": 2}",0.9999999341466219,True,True,[],0.0,-1,True
37,weak_campaign,18,3,"[""veh_08"", ""veh_15""]",2,"{""-1"": 3}",0.9999996689405712,True,True,[],0.0,-1,True
37,weak_campaign,19,2,"[""veh_09"", ""veh_12""]",2,"{""-1"": 2}",0.9999999582814202,True,True,[],0.0,-1,True
37,weak_campaign,20,2,"[""veh_09"", ""veh_14""]",2,"{""-1"": 2}",0.9999997102144218,True,True,[],0.0,-1,True
37,weak_campaign,21,2,"[""veh_10"", ""veh_14""]",2,"{""-1"": 2}",0.9999998862213245,True,True,[],0.0,-1,True
37,weak_campaign,22,2,"[""veh_11"", ""veh_17""]",2,"{""-1"": 2}",0.9999997507088724,True,True,[],0.0,-1,True
37,weak_campaign,23,2,"[""veh_11"", ""veh_16""]",2,"{""-1"": 2}",0.9999999397548511,True,True,[],0.0,-1,True
37,weak_campaign,24,2,"[""veh_12"", ""veh_15""]",2,"{""-1"": 2}",0.9999999047688877,True,True,[],0.0,-1,True
37,weak_campaign,25,2,"[""veh_13"", ""veh_17""]",2,"{""-1"": 2}",0.9999998393277372,True,True,[],0.0,-1,True
37,weak_campaign,26,2,"[""veh_16"", ""veh_18""]",2,"{""-1"": 2}",0.999999859770134,True,True,[],0.0,-1,True
41,strong_campaign,0,8,"[""veh_00"", ""veh_01"", ""veh_02"", ""veh_03"", ""veh_04""]",5,"{""0"": 8}",0.9999994201066259,True,True,[],0.16,0,True
41,strong_campaign,1,2,"[""veh_00"", ""veh_01""]",2,"{""0"": 2}",0.9999997552005099,True,True,[],0.04,0,True
41,strong_campaign,2,5,"[""veh_00"", ""veh_01"", ""veh_03"", ""veh_04""]",4,"{""0"": 5}",0.9999994537602444,True,True,[],0.1,0,True
41,strong_campaign,3,3,"[""veh_00"", ""veh_02""]",2,"{""0"": 3}",0.9999994178106232,True,True,[],0.06,0,True
41,strong_campaign,4,2,"[""veh_01"", ""veh_08""]",2,"{""0"": 1, ""-1"": 1}",0.9999991219943011,True,True,[],0.0196078431372549,0,True
41,strong_campaign,5,2,"[""veh_03"", ""veh_04""]",2,"{""0"": 2}",0.999999915465365,True,True,[],0.04,0,True
41,strong_campaign,6,6,"[""veh_05"", ""veh_09"", ""veh_15"", ""veh_16""]",4,"{""-1"": 6}",0.9999993359070857,True,True,[],0.0,-1,True
41,strong_campaign,7,2,"[""veh_05"", ""veh_17""]",2,"{""-1"": 2}",0.9999997816214647,True,True,[],0.0,-1,True
41,strong_campaign,8,23,"[""veh_05"", ""veh_06"", ""veh_07"", ""veh_08"", ""veh_09"", ""veh_11"", ""veh_12"", ""veh_13"", ""veh_14"", ""veh_15"", ""veh_16"", ""veh_18"", ""veh_19""]",13,"{""-1"": 23}",0.9999981004523989,True,True,[],0.0,-1,True
41,strong_campaign,9,2,"[""veh_06"", ""veh_15""]",2,"{""-1"": 2}",0.9999999254518552,True,True,[],0.0,-1,True
41,strong_campaign,10,3,"[""veh_06"", ""veh_14"", ""veh_16""]",3,"{""-1"": 3}",0.9999998249852102,True,True,[],0.0,-1,True
41,strong_campaign,11,3,"[""veh_06"", ""veh_08"", ""veh_17""]",3,"{""-1"": 3}",0.9999998182099089,True,True,[],0.0,-1,True
41,strong_campaign,12,8,"[""veh_06"", ""veh_07"", ""veh_10"", ""veh_11"", ""veh_12"", ""veh_14"", ""veh_18""]",7,"{""-1"": 8}",0.9999993458352048,True,True,[],0.0,-1,True
41,strong_campaign,13,2,"[""veh_07"", ""veh_11""]",2,"{""-1"": 2}",0.9999994114893308,True,True,[],0.0,-1,True
41,strong_campaign,14,5,"[""veh_07"", ""veh_10"", ""veh_16"", ""veh_18"", ""veh_19""]",5,"{""-1"": 5}",0.9999996307059543,True,True,[],0.0,-1,True
41,strong_campaign,15,3,"[""veh_07"", ""veh_10"", ""veh_12""]",3,"{""-1"": 3}",0.999999943129085,True,True,[],0.0,-1,True
41,strong_campaign,16,5,"[""veh_07"", ""veh_08"", ""veh_11"", ""veh_14"", ""veh_15""]",5,"{""-1"": 5}",0.9999994135136243,True,True,[],0.0,-1,True
41,strong_campaign,17,2,"[""veh_07"", ""veh_17""]",2,"{""-1"": 2}",0.9999998825967266,True,True,[],0.0,-1,True
41,strong_campaign,18,6,"[""veh_07"", ""veh_09"", ""veh_10"", ""veh_13"", ""veh_15"", ""veh_19""]",6,"{""-1"": 6}",0.999999426615098,True,True,[],0.0,-1,True
41,strong_campaign,19,6,"[""veh_09"", ""veh_10"", ""veh_11"", ""veh_13"", ""veh_17"", ""veh_18""]",6,"{""-1"": 6}",0.9999995809246011,True,True,[],0.0,-1,True
41,strong_campaign,20,3,"[""veh_09"", ""veh_10"", ""veh_17""]",3,"{""-1"": 3}",0.9999997832232719,True,True,[],0.0,-1,True
41,strong_campaign,21,2,"[""veh_10"", ""veh_19""]",2,"{""-1"": 2}",0.9999999888949198,True,True,[],0.0,-1,True
41,strong_campaign,22,2,"[""veh_10"", ""veh_17""]",2,"{""-1"": 2}",0.9999992414223566,True,True,[],0.0,-1,True
41,strong_campaign,23,5,"[""veh_11"", ""veh_15"", ""veh_17"", ""veh_19""]",4,"{""-1"": 5}",0.9999995654857763,True,True,[],0.0,-1,True
41,strong_campaign,24,2,"[""veh_11"", ""veh_12""]",2,"{""-1"": 2}",0.9999999607711417,True,True,[],0.0,-1,True
41,strong_campaign,25,2,"[""veh_12""]",1,"{""-1"": 2}",0.9999996064391126,False,False,"[""min_vehicles<2 (have 1)""]",0.0,-1,False
41,strong_campaign,26,2,"[""veh_13"", ""veh_16""]",2,"{""-1"": 2}",0.9999996811135123,True,True,[],0.0,-1,True
41,weak_campaign,0,2,"[""veh_00""]",1,"{""0"": 2}",0.9999999798018689,False,False,"[""min_vehicles<2 (have 1)""]",0.04,0,False
41,weak_campaign,1,2,"[""veh_00"", ""veh_01""]",2,"{""0"": 2}",0.9999999430594271,True,True,[],0.04,0,True
41,weak_campaign,2,2,"[""veh_01"", ""veh_04""]",2,"{""0"": 2}",0.999999942708702,True,True,[],0.04,0,True
