planned_at,git_commit,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,status,run_id
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,local_ids,11,5,0.75,completed,S4_weak_campaign_local_ids_n5_cs0p75_seed11_20260610T163325_c90a881b
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,descriptor_clustering,11,5,0.75,completed,S4_weak_campaign_descriptor_clustering_n5_cs0p75_seed11_20260610T163327_8cc77fe0
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,standard_gnn,11,5,0.75,completed,S4_weak_campaign_standard_gnn_n5_cs0p75_seed11_20260610T163329_d69b2dab
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,fcgnn,11,5,0.75,completed,S4_weak_campaign_fcgnn_n5_cs0p75_seed11_20260610T163331_411d9558
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,local_ids,11,5,1.0,completed,S4_weak_campaign_local_ids_n5_cs1p00_seed11_20260610T163333_c704e806
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,descriptor_clustering,11,5,1.0,completed,S4_weak_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T163335_65f36640
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,standard_gnn,11,5,1.0,completed,S4_weak_campaign_standard_gnn_n5_cs1p00_seed11_20260610T163337_f7a8d6ca
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,fcgnn,11,5,1.0,completed,S4_weak_campaign_fcgnn_n5_cs1p00_seed11_20260610T163339_bd535a33
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,local_ids,11,10,0.75,completed,S4_weak_campaign_local_ids_n10_cs0p75_seed11_20260610T163341_7188ae54
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,descriptor_clustering,11,10,0.75,completed,S4_weak_campaign_descriptor_clustering_n10_cs0p75_seed11_20260610T163345_5b4b5feb
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,standard_gnn,11,10,0.75,completed,S4_weak_campaign_standard_gnn_n10_cs0p75_seed11_20260610T163349_c9bc4ab5
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,fcgnn,11,10,0.75,completed,S4_weak_campaign_fcgnn_n10_cs0p75_seed11_20260610T163353_95d0b4ff
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,local_ids,11,10,1.0,completed,S4_weak_campaign_local_ids_n10_cs1p00_seed11_20260610T163357_af21a8dd
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,descriptor_clustering,11,10,1.0,completed,S4_weak_campaign_descriptor_clustering_n10_cs1p00_seed11_20260610T163402_9ffb30a9
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,standard_gnn,11,10,1.0,completed,S4_weak_campaign_standard_gnn_n10_cs1p00_seed11_20260610T163406_5a3cfb75
2026-06-10T16:32:23.148625+00:00,62bf982c2bb1625b86b30451ef14dad55be4a358,S4_weak_campaign,S4,fcgnn,11,10,1.0,completed,S4_weak_campaign_fcgnn_n10_cs1p00_seed11_20260610T163410_4f213005
