set_id,scenario,scenario_type,local_or_incident_detected,fleet_campaign_detected,false_campaign,incorrect_merge_rate,campaign_precision,campaign_recall,campaign_f1,membership_precision,membership_recall,membership_f1,fragmentation_rate,benign_contamination_rate,best_cluster,n_clusters,num_nodes,num_edges,cross_vehicle_edges,cross_vehicle_edge_pct,cross_manufacturer_edges,average_degree,isolated_node_rate,similarity_threshold,cross_vehicle_threshold,knn_cap,cross_vehicle_cap,temporal_edges,mean_similarity,connected_components,largest_component,mutual_knn,dbscan_eps,dbscan_min_samples,apply_consistency_rule,n_nodes,sweep_phase
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1510,20,1.3245033112582782,0,15.1,0.0,0.72,0.72,15,10,0,0.9957709657435385,2,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1510,20,1.3245033112582782,0,15.1,0.0,0.72,0.72,15,10,0,0.9957709657435385,2,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1929,2,0.10368066355624676,0,19.29,0.0,0.72,0.72,20,1,0,0.9971291630177871,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1929,2,0.10368066355624676,0,19.29,0.0,0.72,0.72,20,1,0,0.9971291630177871,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1931,4,0.20714655618850336,0,19.31,0.0,0.72,0.72,20,2,0,0.9969884167675649,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1931,4,0.20714655618850336,0,19.31,0.0,0.72,0.72,20,2,0,0.9969884167675649,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1933,6,0.3103983445421624,0,19.33,0.0,0.72,0.72,20,3,0,0.9968410504339152,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1933,6,0.3103983445421624,0,19.33,0.0,0.72,0.72,20,3,0,0.9968410504339152,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1937,10,0.5162622612287042,0,19.37,0.0,0.72,0.72,20,5,0,0.9965471618558306,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1937,10,0.5162622612287042,0,19.37,0.0,0.72,0.72,20,5,0,0.9965471618558306,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1947,20,1.027221366204417,0,19.47,0.0,0.72,0.72,20,10,0,0.9957934444417204,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,1947,20,1.027221366204417,0,19.47,0.0,0.72,0.72,20,10,0,0.9957934444417204,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2659,2,0.07521624670928921,0,26.59,0.0,0.72,0.72,30,1,0,0.9979173205947015,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2659,2,0.07521624670928921,0,26.59,0.0,0.72,0.72,30,1,0,0.9979173205947015,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2661,4,0.1503194287861706,0,26.61,0.0,0.72,0.72,30,2,0,0.9978049048710838,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,2661,4,0.1503194287861706,0,26.61,0.0,0.72,0.72,30,2,0,0.9978049048710838,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2663,6,0.22530980097634246,0,26.63,0.0,0.72,0.72,30,3,0,0.9976234410742911,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,2663,6,0.22530980097634248,0,26.63,0.0,0.72,0.72,30,3,0,0.9976234410742911,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2666,9,0.33758439609902474,0,26.66,0.0,0.72,0.72,30,5,0,0.9973282171699756,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2666,9,0.33758439609902474,0,26.66,0.0,0.72,0.72,30,5,0,0.9973282171699756,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2676,19,0.7100149476831091,0,26.76,0.0,0.72,0.72,30,10,0,0.99652050894383,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,2676,19,0.7100149476831091,0,26.76,0.0,0.72,0.72,30,10,0,0.99652050894383,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4017,2,0.04978839930296241,0,40.17,0.0,0.72,0.72,50,1,0,0.9986213979241502,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4017,2,0.04978839930296241,0,40.17,0.0,0.72,0.72,50,1,0,0.9986213979241502,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4019,4,0.09952724558347847,0,40.19,0.0,0.72,0.72,50,2,0,0.998546616536938,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4019,4,0.09952724558347847,0,40.19,0.0,0.72,0.72,50,2,0,0.998546616536938,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4021,6,0.14921661278288983,0,40.21,0.0,0.72,0.72,50,3,0,0.9984260690327872,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,4021,6,0.14921661278288983,0,40.21,0.0,0.72,0.72,50,3,0,0.9984260690327872,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4024,9,0.22365805168986083,0,40.24,0.0,0.72,0.72,50,5,0,0.9982298774789152,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4024,9,0.22365805168986083,0,40.24,0.0,0.72,0.72,50,5,0,0.9982298774789152,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,4034,19,0.47099652949925636,0,40.34,0.0,0.72,0.72,50,10,0,0.997691839844742,3,96,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,4034,19,0.4709965294992563,0,40.34,0.0,0.72,0.72,50,10,0,0.997691839844742,3,96,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,580,2,0.3448275862068966,0,5.8,0.0,0.75,0.72,5,1,0,0.9982012931642861,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,580,2,0.3448275862068966,0,5.8,0.0,0.75,0.72,5,1,0,0.9982012931642861,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,582,4,0.6872852233676976,0,5.82,0.0,0.75,0.72,5,2,0,0.9978322463551748,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,582,4,0.6872852233676976,0,5.82,0.0,0.75,0.72,5,2,0,0.9978322463551748,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,584,6,1.0273972602739725,0,5.84,0.0,0.75,0.72,5,3,0,0.9974051321001902,3,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,584,6,1.0273972602739727,0,5.84,0.0,0.75,0.72,5,3,0,0.9974051321001902,3,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,588,10,1.7006802721088436,0,5.88,0.0,0.75,0.72,5,5,0,0.9973575400860131,2,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,588,10,1.7006802721088434,0,5.88,0.0,0.75,0.72,5,5,0,0.9973575400860131,2,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,598,20,3.3444816053511706,0,5.98,0.0,0.75,0.72,5,10,0,0.9968082976580463,2,173,False,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.995,0.0,0,1,200,598,20,3.3444816053511706,0,5.98,0.0,0.75,0.72,5,10,0,0.9968082976580463,2,173,True,0.8,2,False,200,
set_01,unrelated_incidents,unrelated_incidents,1,0,0,1.0,0.0,0.0,0.0,1.0,0.135,0.2378854625550661,0.99,0.0,0,2,200,1052,2,0.19011406844106463,0,10.52,0.0,0.75,0.72,10,1,0,0.9979968792245415,3,173,False,0.8,2,False,200,
