run_id,method,framework_config,scenario_id,seed,campaign_size,coordination_strength,campaign_metrics_na,membership_purity,fragmentation,completeness,n_campaign_clusters,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events
S0_benign_control_fcgnn_n0_cs0p00_seed97_20260611T102839_183d71f8,fcgnn,C3,S0,97,0,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed101_20260611T102849_193a4694,fcgnn,C3,S1,101,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed11_20260611T100442_8b04dd51,fcgnn,C3,S1,11,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed11_20260611T102840_c7bebe88,fcgnn,C3,S1,11,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed23_20260611T102841_0545d375,fcgnn,C3,S1,23,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed37_20260611T102842_e7e42d66,fcgnn,C3,S1,37,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed41_20260611T102843_5cffa205,fcgnn,C3,S1,41,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed53_20260611T102844_bc69287b,fcgnn,C3,S1,53,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed67_20260611T102845_a2388fe9,fcgnn,C3,S1,67,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed71_20260611T102846_3555f860,fcgnn,C3,S1,71,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed83_20260611T102847_72df3734,fcgnn,C3,S1,83,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S1_isolated_fcgnn_n1_cs0p00_seed97_20260611T102848_bc645615,fcgnn,C3,S1,97,1,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed101_20260611T103020_e231ccd4,fcgnn,C3,S2,101,10,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,11.0,1.0,26.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed11_20260611T100450_baa63a0a,fcgnn,C3,S2,11,10,0.0,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,3.0,11.0,0.0,245.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed11_20260611T102856_3a12e1ce,fcgnn,C3,S2,11,10,0.0,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,3.0,11.0,0.0,245.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed23_20260611T102905_8c7994c7,fcgnn,C3,S2,23,10,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,11.0,1.0,54.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed37_20260611T102915_babf70fe,fcgnn,C3,S2,37,10,0.0,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,185.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed41_20260611T102924_299ac955,fcgnn,C3,S2,41,10,0.0,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,59.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed53_20260611T102933_f7aeb624,fcgnn,C3,S2,53,10,0.0,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,39.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed67_20260611T102943_ca781315,fcgnn,C3,S2,67,10,0.0,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,108.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed71_20260611T102952_8e298d31,fcgnn,C3,S2,71,10,0.0,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,3.0,11.0,0.0,127.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed83_20260611T103002_d18e4473,fcgnn,C3,S2,83,10,0.0,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,38.0
S2_non_coordinated_fcgnn_n10_cs0p00_seed97_20260611T103011_e4a830b5,fcgnn,C3,S2,97,10,0.0,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,11.0,1.0,48.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed101_20260611T103022_616277fc,fcgnn,C3,S2,101,10,0.25,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,11.0,1.0,26.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed11_20260611T100451_08ed9363,fcgnn,C3,S2,11,10,0.25,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,3.0,11.0,0.0,245.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed11_20260611T102858_7607d98f,fcgnn,C3,S2,11,10,0.25,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,3.0,11.0,0.0,245.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed23_20260611T102907_f5f9f825,fcgnn,C3,S2,23,10,0.25,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,11.0,1.0,54.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed37_20260611T102916_d93fff6d,fcgnn,C3,S2,37,10,0.25,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,185.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed41_20260611T102926_e02e6665,fcgnn,C3,S2,41,10,0.25,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,59.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed53_20260611T102935_0e8d6a09,fcgnn,C3,S2,53,10,0.25,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,39.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed67_20260611T102945_37c989bc,fcgnn,C3,S2,67,10,0.25,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,108.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed71_20260611T102954_ff819d10,fcgnn,C3,S2,71,10,0.25,False,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.75,3.0,11.0,0.0,127.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed83_20260611T103003_8a09e3b2,fcgnn,C3,S2,83,10,0.25,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,11.0,0.0,38.0
S2_non_coordinated_fcgnn_n10_cs0p25_seed97_20260611T103013_07e5aed6,fcgnn,C3,S2,97,10,0.25,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,1.0,11.0,1.0,48.0
S2_non_coordinated_fcgnn_n2_cs0p00_seed101_20260611T103014_3e9cdefe,fcgnn,C3,S2,101,2,0.0,False,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0
S2_non_coordinated_fcgnn_n2_cs0p00_seed11_20260611T100443_17552b29,fcgnn,C3,S2,11,2,0.0,False,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.0,3.0,0.0,21.0
