method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec,scenario_id
fcgnn,41,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.91125,0.9142202684030152,0,73,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0297509999945759,0.0424630840425379,0.0036815840285271,0.2815997910220176,,S1
local_ids,97,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.8709027777777778,0.8854857153953888,0,57,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1600713750231079,0.0,S1
local_ids,37,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9418055555555556,0.9444651885818698,0,80,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.153208417003043,0.0,S1
fcgnn,83,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9022222222222224,0.9072425568493164,0,70,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.034075915988069,0.0422046669991686,0.0029044169932603,0.3104745830059983,,S1
fcgnn,53,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9991666666666666,0.9995972222222222,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.023824332980439,0.0418250830261968,0.0028493750141933,0.2739099999889731,,S1
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0295164170092903,0.0412144580041058,0.0029092910117469,0.2420982920448295,,S1
fcgnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0286390000255778,0.0391526659950614,0.0029799159965477,0.2355063330032862,,S1
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1510507499915547,0.0,S1
local_ids,101,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9041666666666668,0.9091637429712394,0,64,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1539201660198159,0.0,S1
standard_gnn,83,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9022222222222224,0.9072425568493164,0,70,0.3333333333333333,1.0,0.5,1,2,0.0,0.0,0.0,0.0,0.5,1,0,0,10,0.0272030000342056,0.0367649580002762,0.0035308329970575,0.2727709169848822,,S1
local_ids,71,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9969444444444444,0.9984473310597928,0,32,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1510039159911684,0.0,S1
descriptor_clustering,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.029820459021721,,0.0015445000026375,0.1940963339875452,,S1
descriptor_clustering,41,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.91125,0.9142202684030152,0,73,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0314894579933024,,0.0017509159515611,0.2554599170107394,,S1
local_ids,41,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.91125,0.9142202684030152,0,73,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1962816670420579,0.0,S1
local_ids,53,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9991666666666666,0.9995972222222222,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.2015000419924035,0.0,S1
standard_gnn,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,0.0,0.0,0.0,0.0,0.5,1,0,0,30,0.0227764160372316,0.0359805829939432,0.003173625038471,0.2207057080231607,,S1
standard_gnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0293327079853042,0.0367227499955333,0.0031203330145217,0.2333321250043809,,S1
standard_gnn,37,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9418055555555556,0.9444651885818698,0,80,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0288112499983981,0.0366368750110268,0.0028036249568685,0.2254075829987414,,S1
descriptor_clustering,37,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9418055555555556,0.9444651885818698,0,80,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.025912832992617,,0.0013188340235501,0.1949945419910363,,S1
standard_gnn,101,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9041666666666668,0.9091637429712394,0,64,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0278913750080391,0.0419215419678948,0.003196083009243,0.2368763329577632,,S1
descriptor_clustering,101,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9041666666666668,0.9091637429712394,0,64,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0277544170385226,,0.0014834580360911,0.1963077079853974,,S1
standard_gnn,97,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.8709027777777778,0.8854857153953888,0,57,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0312210420379415,0.0405708329635672,0.0028639170341193,0.2480857920018024,,S1
descriptor_clustering,53,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9991666666666666,0.9995972222222222,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.025367208989337,,0.0012956670252606,0.2315946249873377,,S1
local_ids,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1521782909985631,0.0,S1
fcgnn,67,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,37,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0263887500041164,0.0415162499994039,0.0029582920251414,0.2351771249668672,,S1
standard_gnn,71,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9969444444444444,0.9984473310597928,0,32,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0232950000208802,0.0325247500441037,0.0026642080047167,0.2159530830103904,,S1
standard_gnn,67,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,37,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0223089169594459,0.0358305829577147,0.0035706660128198,0.2198210419737734,,S1
local_ids,83,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9022222222222224,0.9072425568493164,0,70,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1988697500200942,0.0,S1
standard_gnn,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0284929999615997,0.0378875419846735,0.0030366249848157,0.2382814580341801,,S1
fcgnn,71,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9969444444444444,0.9984473310597928,0,32,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0234461670042946,0.0357202079612761,0.0028664580313488,0.2127404999919235,,S1
descriptor_clustering,83,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9022222222222224,0.9072425568493164,0,70,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0315768339787609,,0.001418542000465,0.2502045419532805,,S1
descriptor_clustering,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0288600419880822,,0.0016244589933194,0.2653123330092057,,S1
descriptor_clustering,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0231804170180112,,0.0017344999941997,0.1889441660023294,,S1
local_ids,11,S1_isolated,1,0.0,1,2,0,0,0.5,1.0,0.6666666666666666,1.0,0.0,0.9036111111111113,0.9109348939550715,0,67,0.3333333333333333,1.0,0.5,1,2,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.164083041017875,0.0,S1
fcgnn,23,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,36,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,0.0226600000169128,0.0405518329935148,0.0027081250445917,0.2290472089662216,,S1
local_ids,67,S1_isolated,1,0.0,1,1,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9997222222222222,0.9998616850321396,0,37,0.5,1.0,0.6666666666666666,1,1,1.0,1.0,1.0,1.0,0.0,0,0,0,0,,,,0.1486416249535977,0.0,S1
