run_id,scenario_id,seed,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,latency_sec,prediction_source
S0_benign_control_descriptor_clustering_n0_cs0p00_seed101_20260611T102839_16fc93fc,S0,101,0,118,182,0,0.0,0.0,0.0,0.3933333333333333,0.0,,,0.1021894589648582,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed11_20260611T100441_0c1a9279,S0,11,0,130,170,0,0.0,0.0,0.0,0.4333333333333333,0.0,,,0.1121901670121587,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed23_20260611T102835_1e0f13b8,S0,23,0,122,178,0,0.0,0.0,0.0,0.4066666666666667,0.0,,,0.1848307920154184,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed37_20260611T102835_94eff4a3,S0,37,0,124,176,0,0.0,0.0,0.0,0.4133333333333333,0.0,,,0.102579083002638,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed41_20260611T102836_7a4888c2,S0,41,0,122,178,0,0.0,0.0,0.0,0.4066666666666667,0.0,,,0.1036247079609893,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed53_20260611T102836_4574b9e7,S0,53,0,128,172,0,0.0,0.0,0.0,0.4266666666666667,0.0,,,0.1059694580035284,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed67_20260611T102837_894a62bb,S0,67,0,127,173,0,0.0,0.0,0.0,0.4233333333333333,0.0,,,0.1007313340087421,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed71_20260611T102837_31599d70,S0,71,0,125,175,0,0.0,0.0,0.0,0.4166666666666667,0.0,,,0.1090837920201011,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed83_20260611T102838_d6424262,S0,83,0,127,173,0,0.0,0.0,0.0,0.4233333333333333,0.0,,,0.0997513749753125,isolation_forest_only
S0_benign_control_descriptor_clustering_n0_cs0p00_seed97_20260611T102838_d1c7ed82,S0,97,0,112,188,0,0.0,0.0,0.0,0.3733333333333333,0.0,,,0.1034947499865666,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed101_20260611T102848_9021de9d,S1,101,120,56,64,0,0.6818181818181818,1.0,0.8108108108108109,0.4666666666666667,0.0,0.9041666666666668,0.9091637429712394,0.1963077079853974,isolation_forest_only
