tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,method,seed,run_id,scenario_key,scenario_id,campaign_size,coordination_strength,runtime_total_sec
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3139305555555556,0.3318777204826557,240,174,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,23,S4_weak_campaign_local_ids_n2_cs1p00_seed23_20260610T141613_a3c5b36f,S4_weak_campaign,S4,2,1.0,0.648617124999873
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.36286392326968997,240,190,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,14,descriptor_clustering,11,S4_weak_campaign_descriptor_clustering_n2_cs1p00_seed11_20260610T141737_447a8b22,S4_weak_campaign,S4,2,1.0,0.8382816250086761
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,10,standard_gnn,11,S4_weak_campaign_standard_gnn_n5_cs1p00_seed11_20260610T141750_113844c6,S4_weak_campaign,S4,5,1.0,1.9579924580175432
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.30720238095238095,0.6086084841291762,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S4_weak_campaign_local_ids_n10_cs0p75_seed11_20260610T141753_750bf42e,S4_weak_campaign,S4,10,0.75,2.932107208005618
2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.30720238095238095,0.6086084841291762,840,173,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,local_ids,11,S4_weak_campaign_local_ids_n10_cs1p00_seed11_20260610T141806_b7772c3a,S4_weak_campaign,S4,10,1.0,3.012154291005572
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,2,0,13,fcgnn,11,S4_weak_campaign_fcgnn_n5_cs0p75_seed11_20260610T141745_29d2ba41,S4_weak_campaign,S4,5,0.75,1.6715873340144751
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,descriptor_clustering,11,S4_weak_campaign_descriptor_clustering_n5_cs0p75_seed11_20260610T141741_bb79f0a4,S4_weak_campaign,S4,5,0.75,1.638991125015309
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.36286392326968997,240,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,4,2,0,63,standard_gnn,11,S4_weak_campaign_standard_gnn_n2_cs1p00_seed11_20260610T141738_95f1555d,S4_weak_campaign,S4,2,1.0,0.7712724999873891
2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,2,0,0,standard_gnn,11,S4_weak_campaign_standard_gnn_n5_cs0p75_seed11_20260610T141743_61f34225,S4_weak_campaign,S4,5,0.75,1.624699625011999
2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,,,,,0.6666666666666666,2,3,0,68,fcgnn,11,S2_non_coordinated_fcgnn_n5_cs0p25_seed11_20260610T141649_6e381424,S2_non_coordinated,S2,5,0.25,0.49063970899442205
