scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S2_non_coordinated,S2,fcgnn,67,10,0.25
S2_non_coordinated,S2,local_ids,71,2,0.0
S2_non_coordinated,S2,descriptor_clustering,71,2,0.0
S2_non_coordinated,S2,standard_gnn,71,2,0.0
S2_non_coordinated,S2,fcgnn,71,2,0.0
S2_non_coordinated,S2,local_ids,71,2,0.25
S2_non_coordinated,S2,descriptor_clustering,71,2,0.25
S2_non_coordinated,S2,standard_gnn,71,2,0.25
S2_non_coordinated,S2,fcgnn,71,2,0.25
S2_non_coordinated,S2,local_ids,71,5,0.0
S2_non_coordinated,S2,descriptor_clustering,71,5,0.0
S2_non_coordinated,S2,standard_gnn,71,5,0.0
S2_non_coordinated,S2,fcgnn,71,5,0.0
S2_non_coordinated,S2,local_ids,71,5,0.25
S2_non_coordinated,S2,descriptor_clustering,71,5,0.25
S2_non_coordinated,S2,standard_gnn,71,5,0.25
S2_non_coordinated,S2,fcgnn,71,5,0.25
S2_non_coordinated,S2,local_ids,71,10,0.0
S2_non_coordinated,S2,descriptor_clustering,71,10,0.0
S2_non_coordinated,S2,standard_gnn,71,10,0.0
S2_non_coordinated,S2,fcgnn,71,10,0.0
S2_non_coordinated,S2,local_ids,71,10,0.25
S2_non_coordinated,S2,descriptor_clustering,71,10,0.25
S2_non_coordinated,S2,standard_gnn,71,10,0.25
S2_non_coordinated,S2,fcgnn,71,10,0.25
S2_non_coordinated,S2,local_ids,83,2,0.0
S2_non_coordinated,S2,descriptor_clustering,83,2,0.0
S2_non_coordinated,S2,standard_gnn,83,2,0.0
S2_non_coordinated,S2,fcgnn,83,2,0.0
S2_non_coordinated,S2,local_ids,83,2,0.25
S2_non_coordinated,S2,descriptor_clustering,83,2,0.25
S2_non_coordinated,S2,standard_gnn,83,2,0.25
S2_non_coordinated,S2,fcgnn,83,2,0.25
S2_non_coordinated,S2,local_ids,83,5,0.0
S2_non_coordinated,S2,descriptor_clustering,83,5,0.0
S2_non_coordinated,S2,standard_gnn,83,5,0.0
S2_non_coordinated,S2,fcgnn,83,5,0.0
S2_non_coordinated,S2,local_ids,83,5,0.25
S2_non_coordinated,S2,descriptor_clustering,83,5,0.25
S2_non_coordinated,S2,standard_gnn,83,5,0.25
S2_non_coordinated,S2,fcgnn,83,5,0.25
S2_non_coordinated,S2,local_ids,83,10,0.0
S2_non_coordinated,S2,descriptor_clustering,83,10,0.0
S2_non_coordinated,S2,standard_gnn,83,10,0.0
S2_non_coordinated,S2,fcgnn,83,10,0.0
S2_non_coordinated,S2,local_ids,83,10,0.25
S2_non_coordinated,S2,descriptor_clustering,83,10,0.25
S2_non_coordinated,S2,standard_gnn,83,10,0.25
S2_non_coordinated,S2,fcgnn,83,10,0.25
S2_non_coordinated,S2,local_ids,97,2,0.0
S2_non_coordinated,S2,descriptor_clustering,97,2,0.0
S2_non_coordinated,S2,standard_gnn,97,2,0.0
S2_non_coordinated,S2,fcgnn,97,2,0.0
S2_non_coordinated,S2,local_ids,97,2,0.25
S2_non_coordinated,S2,descriptor_clustering,97,2,0.25
S2_non_coordinated,S2,standard_gnn,97,2,0.25
S2_non_coordinated,S2,fcgnn,97,2,0.25
S2_non_coordinated,S2,local_ids,97,5,0.0
S2_non_coordinated,S2,descriptor_clustering,97,5,0.0
S2_non_coordinated,S2,standard_gnn,97,5,0.0
S2_non_coordinated,S2,fcgnn,97,5,0.0
S2_non_coordinated,S2,local_ids,97,5,0.25
S2_non_coordinated,S2,descriptor_clustering,97,5,0.25
S2_non_coordinated,S2,standard_gnn,97,5,0.25
S2_non_coordinated,S2,fcgnn,97,5,0.25
S2_non_coordinated,S2,local_ids,97,10,0.0
S2_non_coordinated,S2,descriptor_clustering,97,10,0.0
S2_non_coordinated,S2,standard_gnn,97,10,0.0
S2_non_coordinated,S2,fcgnn,97,10,0.0
S2_non_coordinated,S2,local_ids,97,10,0.25
S2_non_coordinated,S2,descriptor_clustering,97,10,0.25
S2_non_coordinated,S2,standard_gnn,97,10,0.25
S2_non_coordinated,S2,fcgnn,97,10,0.25
S2_non_coordinated,S2,local_ids,101,2,0.0
S2_non_coordinated,S2,descriptor_clustering,101,2,0.0
S2_non_coordinated,S2,standard_gnn,101,2,0.0
S2_non_coordinated,S2,fcgnn,101,2,0.0
S2_non_coordinated,S2,local_ids,101,2,0.25
S2_non_coordinated,S2,descriptor_clustering,101,2,0.25
S2_non_coordinated,S2,standard_gnn,101,2,0.25
S2_non_coordinated,S2,fcgnn,101,2,0.25
S2_non_coordinated,S2,local_ids,101,5,0.0
S2_non_coordinated,S2,descriptor_clustering,101,5,0.0
S2_non_coordinated,S2,standard_gnn,101,5,0.0
S2_non_coordinated,S2,fcgnn,101,5,0.0
S2_non_coordinated,S2,local_ids,101,5,0.25
S2_non_coordinated,S2,descriptor_clustering,101,5,0.25
S2_non_coordinated,S2,standard_gnn,101,5,0.25
S2_non_coordinated,S2,fcgnn,101,5,0.25
S2_non_coordinated,S2,local_ids,101,10,0.0
S2_non_coordinated,S2,descriptor_clustering,101,10,0.0
S2_non_coordinated,S2,standard_gnn,101,10,0.0
S2_non_coordinated,S2,fcgnn,101,10,0.0
S2_non_coordinated,S2,local_ids,101,10,0.25
S2_non_coordinated,S2,descriptor_clustering,101,10,0.25
S2_non_coordinated,S2,standard_gnn,101,10,0.25
S2_non_coordinated,S2,fcgnn,101,10,0.25
S3_strong_campaign,S3,local_ids,23,2,0.75
S3_strong_campaign,S3,descriptor_clustering,23,2,0.75
S3_strong_campaign,S3,standard_gnn,23,2,0.75
S3_strong_campaign,S3,fcgnn,23,2,0.75
S3_strong_campaign,S3,descriptor_clustering,23,2,1.0
S3_strong_campaign,S3,standard_gnn,23,2,1.0
S3_strong_campaign,S3,local_ids,23,5,0.75
S3_strong_campaign,S3,descriptor_clustering,23,5,0.75
S3_strong_campaign,S3,standard_gnn,23,5,0.75
