run_id,run_dir,scenario_key,scenario_id,method,seed,campaign_size,coordination_strength,scenario_hash,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
S3_strong_campaign_fcgnn_n10_cs1p00_seed11_20260610T141731_cd3e860e,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_fcgnn_n10_cs1p00_seed11_20260610T141731_cd3e860e,S3_strong_campaign,S3,fcgnn,11,10,1.0,b4422ab9ff90b3a3,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9725403225806452,0.9984581208595236,0,44,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,590,0.1155675000045448,0.1317885419994127,0.0062705830205231,2.8175565830024425,
S3_strong_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141656_70cc30d2,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141656_70cc30d2,S3_strong_campaign,S3,standard_gnn,11,2,0.75,2b592588a2efac1b,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,4,1,0,50,0.0544721670157741,0.0651173749938607,0.004557082982501,0.6900028749951161,
S3_strong_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T141707_4238e639,new_experiments/results/S3_strong_campaign/runs/S3_strong_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T141707_4238e639,S3_strong_campaign,S3,descriptor_clustering,11,5,1.0,dd61fcf79fea0898,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,365,0.0872430829913355,,0.0037813329836353,1.3985366660053842,
S4_weak_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T141748_74da3f67,new_experiments/results/S4_weak_campaign/runs/S4_weak_campaign_descriptor_clustering_n5_cs1p00_seed11_20260610T141748_74da3f67,S4_weak_campaign,S4,descriptor_clustering,11,5,1.0,1892f8b56481328b,2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3780034722222222,0.5189445580217775,480,191,0.6666666666666666,1.0,0.8,2,1,1.0,1.0,1.0,1.0,1.0,1,1,0,31,0.0701311659940984,,0.0034399589931126,1.5825362500036135,
S4_weak_campaign_fcgnn_n2_cs0p75_seed11_20260610T141736_b2270adc,new_experiments/results/S4_weak_campaign/runs/S4_weak_campaign_fcgnn_n2_cs0p75_seed11_20260610T141736_b2270adc,S4_weak_campaign,S4,fcgnn,11,2,0.75,e4f48b5df2e63948,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.3628639232696899,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.053617583005689,0.0522092500177677,0.0040864589973352,0.7788241660164203,
S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T141739_66f34838,new_experiments/results/S4_weak_campaign/runs/S4_weak_campaign_fcgnn_n2_cs1p00_seed11_20260610T141739_66f34838,S4_weak_campaign,S4,fcgnn,11,2,1.0,e4f48b5df2e63948,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.3628639232696899,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0542640000057872,0.0713065830059349,0.0038181249983608,0.7932077079894952,
S4_weak_campaign_fcgnn_n10_cs0p75_seed11_20260610T141803_811ce0ae,new_experiments/results/S4_weak_campaign/runs/S4_weak_campaign_fcgnn_n10_cs0p75_seed11_20260610T141803_811ce0ae,S4_weak_campaign,S4,fcgnn,11,10,0.75,10ac18c8fc7e7a14,2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,5,1,0,127,0.0878547919855918,0.0735862499859649,0.005624584009638,3.143936208012746,
S4_weak_campaign_local_ids_n5_cs1p00_seed11_20260610T141746_11f0c7b4,new_experiments/results/S4_weak_campaign/runs/S4_weak_campaign_local_ids_n5_cs1p00_seed11_20260610T141746_11f0c7b4,S4_weak_campaign,S4,local_ids,11,5,1.0,1892f8b56481328b,2,1,0,0,0.6153846153846154,1.0,0.7619047619047619,1.0,0.0,0.3106840277777778,0.485332068746185,480,191,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.5590048750163987,0.0
S4_weak_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141800_e67811d1,new_experiments/results/S4_weak_campaign/runs/S4_weak_campaign_standard_gnn_n10_cs0p75_seed11_20260610T141800_e67811d1,S4_weak_campaign,S4,standard_gnn,11,10,0.75,10ac18c8fc7e7a14,2,1,0,0,0.7368421052631579,1.0,0.8484848484848485,1.0,0.0,0.365640873015873,0.6345007597489283,840,173,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,4,1,0,54,0.0881588750053197,0.0663232080114539,0.0058392919891048,3.1486772499920335,
S4_weak_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141735_f5d02a2e,new_experiments/results/S4_weak_campaign/runs/S4_weak_campaign_standard_gnn_n2_cs0p75_seed11_20260610T141735_f5d02a2e,S4_weak_campaign,S4,standard_gnn,11,2,0.75,e4f48b5df2e63948,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.3927847222222222,0.3628639232696899,240,190,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0484112499980255,0.0439033749862574,0.0019398329895921,0.7398864999995567,
